body,picture,actor,postID,likes,time,class,absTime,updateTime
vibes,james_ring_hand.jpg,justAGuy,1,3,-240:00,,12/19/25 15:32,12/29/25 15:32
six months â¤ï¸,handheld.jpg,Kelly890,5,249,-210:00,,10/20/25 09:12,10/20/25 09:12
Donâ€™t like if you are a cat person,dog.jpeg,real_jane,8,51,-198:00,,10/20/25 12:03,10/20/25 12:03
with my Queen,emily_kelly.jpeg,emfan_kelly,7,63,-134:00,,10/20/25 11:17,10/20/25 11:17
I love my girl friends forever and ever,kat_girls.jpg,its.kat,6,94,-133:00,,10/20/25 10:42,10/20/25 10:42
Rise and shine,msmiller_morning.jpg,msmiller_teacher,11,12,-100:00,,10/20/25 06:30,10/20/25 06:30
You ever feel like everyone sees you but no one knows you?,,jamie4real,9,3,-89:00,,10/20/25 13:25,10/20/25 13:25
Missing the cruise already â˜€ï¸â˜€ï¸â˜€ï¸ #familytrip,kelly_post.jpg,Kelly890,2,220,-12:00,,10/18/25 12:05,10/18/25 12:05
Crying Yâ€™all. We made it to state #scienceOlympics,,charlem,10,8,-6:00,,10/20/25 15:01,10/20/25 15:01
Back on my grind. #WorkHardPlayHard,kyle_post.jpg,kylex_football,3,87,-3:00,,12/29/25 20:02,12/29/25 20:02
do u wanna see what the queen bee really looks like when the crownâ€™s off?ğŸ‹ğŸ‘ğŸ‘€ğŸ‘€ğŸ‘€,james_post.png,justAGuy,4,154,-0:35,,12/29/25 22:25,12/29/25 22:25







